application_id,group,approved,defaulted,loan_size,processing_time
1,A,True,False,15081.33,47.2
2,B,True,False,34158.67,26.3
3,B,True,False,22563.97,19.8
4,A,True,False,19721.65,30.5
5,A,True,False,13514.16,54.3
6,A,True,False,10318.03,30.2
7,A,True,False,9050.43,42.9
8,A,False,False,0.0,45.3
9,A,True,False,7060.14,53.4
10,A,True,False,16464.69,40.4
11,A,True,False,39866.89,49.6
12,A,False,False,0.0,48.7
13,A,False,False,0.0,22.9
14,A,False,False,0.0,52.0
15,B,False,False,0.0,43.6
16,B,True,False,9464.2,42.8
17,A,False,False,0.0,33.7
18,B,True,True,14970.22,34.4
19,A,True,False,15331.15,30.8
20,A,True,False,15297.11,48.8
21,A,True,False,10260.15,70.0
22,B,True,False,11993.5,59.6
23,A,False,False,0.0,33.0
24,A,True,False,17671.6,29.6
25,B,True,False,15815.3,31.0
26,A,True,False,9885.43,39.4
27,B,True,False,20987.79,41.7
28,A,True,False,18027.37,45.7
29,B,True,False,21989.16,35.1
30,A,True,False,8100.82,108.9
31,A,True,False,9187.9,34.5
32,A,True,False,19780.73,76.2
33,B,True,False,11672.79,49.1
34,B,True,False,10584.45,33.8
35,A,False,False,0.0,22.7
36,B,True,False,8695.82,45.2
37,B,True,False,6774.75,37.5
38,B,True,False,7452.07,60.3
39,B,True,False,8942.74,44.1
40,A,True,False,4712.2,62.6
41,B,False,False,0.0,15.0
42,B,False,False,0.0,29.1
43,A,True,True,12926.2,48.2
44,A,False,False,0.0,26.5
45,A,True,False,25940.04,47.0
46,B,True,False,5749.4,52.6
47,B,True,False,50000.0,65.4
48,B,True,False,10761.76,46.9
49,B,True,False,11587.56,61.3
50,B,True,False,26906.76,63.1
51,B,False,False,0.0,18.1
52,B,False,False,0.0,23.6
53,A,True,False,25878.66,46.4
54,B,True,True,19525.28,55.6
55,A,False,False,0.0,30.5
56,B,True,False,14865.8,57.1
57,A,False,False,0.0,20.2
58,A,True,False,4114.92,42.5
59,A,False,False,0.0,52.8
60,B,True,False,7363.87,51.5
61,A,True,False,8573.14,29.4
62,B,False,False,0.0,19.1
63,B,False,False,0.0,26.9
64,B,True,False,25684.76,34.8
65,A,False,False,0.0,66.3
66,B,True,False,21826.42,31.2
67,B,True,True,9770.36,35.4
68,A,True,False,8213.13,110.9
69,B,True,False,17091.51,45.1
70,B,True,False,14258.56,38.9
71,A,True,False,9813.44,79.7
72,A,True,False,4044.88,48.2
73,A,False,False,0.0,20.7
74,A,False,False,0.0,58.1
75,A,True,False,31081.11,56.1
76,A,True,False,4193.01,69.8
77,A,False,False,0.0,27.5
78,B,True,True,8181.43,18.7
79,B,True,False,13240.53,46.2
80,B,False,False,0.0,52.2
81,B,True,False,21766.53,46.8
82,B,True,False,15065.22,47.6
83,B,True,False,30058.53,68.4
84,A,True,False,11412.63,47.2
85,B,True,True,7308.67,53.5
86,A,True,True,6267.6,59.5
87,A,False,False,0.0,56.3
88,A,False,False,0.0,37.7
89,B,True,False,13680.63,68.3
90,B,True,False,16053.34,73.7
91,B,True,False,14218.0,69.4
92,A,True,False,23198.04,75.7
93,A,True,False,6419.55,44.6
94,A,True,False,6127.14,42.6
95,A,True,False,11420.69,35.8
96,B,True,False,8929.03,47.8
97,B,True,False,9595.63,34.5
98,B,False,False,0.0,22.0
99,A,True,False,6818.71,24.3
100,A,False,False,0.0,39.8
101,A,False,False,0.0,54.9
102,A,False,False,0.0,17.8
103,A,True,False,20023.66,42.4
104,B,False,False,0.0,29.6
105,A,False,False,0.0,26.2
106,A,True,False,12772.2,56.6
107,A,True,False,10194.74,69.7
108,A,True,False,17011.3,34.8
109,B,True,False,50000.0,58.6
110,A,True,False,8504.47,37.6
111,A,True,False,9500.28,46.6
112,A,False,False,0.0,64.2
113,B,True,False,25797.18,80.3
114,A,False,False,0.0,29.6
115,A,False,False,0.0,25.2
116,B,True,False,22894.56,70.2
117,A,False,False,0.0,31.1
118,A,True,False,9833.13,45.9
119,A,True,False,3142.37,37.4
120,A,True,False,27773.19,66.4
121,A,False,False,0.0,97.3
122,A,True,False,9538.78,61.1
123,B,True,True,22461.45,76.3
124,A,False,False,0.0,24.4
125,A,False,False,0.0,29.0
126,B,True,True,13641.41,45.3
127,A,False,False,0.0,47.6
128,B,True,False,14319.23,30.6
129,B,True,False,6321.32,67.8
130,B,False,False,0.0,48.2
131,B,True,True,12639.67,31.5
132,B,True,False,12670.21,44.0
133,A,True,False,48142.11,31.5
134,A,True,False,24619.33,40.9
135,B,False,False,0.0,21.0
136,B,False,False,0.0,34.0
137,B,True,False,34271.82,43.7
138,B,False,False,0.0,42.1
139,A,False,False,0.0,35.7
140,A,False,False,0.0,31.3
141,B,True,False,14719.65,15.5
142,B,True,False,14451.08,34.1
143,B,True,False,15262.13,49.7
144,B,True,False,35934.02,55.5
145,B,True,False,25376.22,49.1
146,B,True,False,17068.38,54.2
147,B,False,False,0.0,19.8
148,B,True,False,4675.1,63.4
149,B,True,False,10703.02,55.9
150,B,True,False,8892.97,42.7
151,A,True,True,3232.65,63.4
152,B,True,False,18574.21,63.2
153,B,True,False,19737.51,68.9
154,B,True,False,25760.66,57.8
155,A,True,False,5933.46,57.1
156,A,False,False,0.0,45.3
157,B,True,False,8635.31,65.3
158,B,True,False,29394.92,55.5
159,B,True,False,13138.52,64.2
160,A,True,False,5158.18,43.3
161,A,True,False,8574.85,62.3
162,B,True,False,14649.03,53.6
163,A,False,False,0.0,24.2
164,A,False,False,0.0,51.7
165,A,True,False,31856.94,37.4
166,B,False,False,0.0,65.1
167,A,True,False,16223.55,73.8
168,A,False,False,0.0,38.4
169,B,False,False,0.0,24.9
170,A,True,False,6364.54,48.2
171,B,False,False,0.0,33.0
172,A,True,False,21383.58,47.5
173,B,True,False,19299.52,41.1
174,B,True,False,11253.93,36.6
175,A,False,False,0.0,32.0
176,B,True,False,16967.69,46.7
177,B,True,False,32814.28,39.1
178,B,True,False,7959.96,24.9
179,A,False,False,0.0,21.0
180,A,True,False,22567.43,40.6
181,B,True,False,39253.44,74.3
182,B,True,False,10507.91,58.0
183,A,False,False,0.0,14.4
184,A,False,False,0.0,21.5
185,B,False,False,0.0,21.4
186,B,True,False,8000.46,32.0
187,B,True,False,17072.7,77.1
188,B,True,False,8409.13,27.2
189,A,False,False,0.0,35.6
190,A,True,False,20635.29,50.7
