group,approved,defaulted,loan_size,processing_time
A,1,0,4063.14,3.222
A,0,0,5430.85,4.05
A,0,0,18234.22,6.42
A,1,1,5223.39,4.963
A,1,0,32536.16,1.758
A,1,0,12620.83,1.546
A,1,0,14306.59,4.104
A,0,0,10692.54,2.381
A,1,0,24792.05,5.173
A,0,0,24997.42,4.263
A,1,0,17466.56,4.448
A,0,0,20990.63,3.14
A,0,0,11274.83,6.812
A,1,0,20614.76,8.464
A,1,0,10195.46,3.782
A,1,1,13383.6,4.73
A,1,0,10724.49,4.346
A,1,0,9267.09,3.81
A,1,0,7697.96,2.952
A,1,0,19421.81,2.573
A,1,0,38119.63,2.497
A,1,0,34094.17,4.808
A,1,0,4889.02,3.42
A,1,0,37472.49,0.333
A,1,0,10357.57,4.867
A,0,0,21602.98,4.143
A,1,0,6470.62,6.22
A,1,1,14966.71,4.76
A,1,0,17171.02,1.982
A,1,1,4073.74,0.855
A,1,0,21733.58,3.121
A,1,0,39212.39,3.262
A,1,0,11617.66,5.615
A,0,0,39661.43,4.187
A,0,0,11478.66,5.901
A,0,0,26361.7,2.213
A,1,0,2264.58,5.648
A,1,0,92505.39,5.281
A,0,0,44194.98,1.173
A,1,0,10639.19,6.184
A,1,0,2758.19,4.34
A,1,0,16821.66,4.788
A,1,0,4208.49,2.903
A,0,0,19070.21,6.113
A,1,0,18569.07,2.421
A,0,0,6291.01,5.448
A,1,0,32753.78,5.431
A,1,0,25449.71,2.739
A,1,0,29163.08,7.175
A,1,0,13454.73,4.547
A,0,0,4305.21,5.181
A,0,0,29210.92,1.909
A,0,0,10761.21,7.377
A,0,0,4394.79,2.363
A,1,0,39404.35,5.737
A,0,0,71648.39,2.708
A,1,0,12926.07,3.272
A,1,0,75154.17,5.383
A,1,0,14372.21,5.741
A,1,0,9854.02,2.293
A,1,0,8067.78,5.836
A,1,0,49496.93,5.767
A,0,0,7157.28,2.793
A,1,0,24057.82,6.598
A,1,0,8541.3,2.015
